025-02-20 21:02:52,878 - Loaded spaCy model in 1.70 seconds
2025-02-20 21:05:09,008 - Batch 4700-4750 processed in 1.05 seconds | Locations found: 6 | Total locations: 307
2025-02-20 21:05:10,344 - Batch 4750-4800 processed in 1.34 seconds | Locations found: 4 | Total locations: 311
2025-02-20 21:05:11,405 - Batch 4800-4850 processed in 1.06 seconds | Locations found: 3 | Total locations: 314
2025-02-20 21:05:12,880 - Batch 4850-4900 processed in 1.47 seconds | Locations found: 3 | Total locations: 317
2025-02-20 21:05:15,368 - Batch 4900-4950 processed in 2.49 seconds | Locations found: 5 | Total locations: 322
2025-02-20 21:05:16,799 - Batch 4950-5000 processed in 1.43 seconds | Locations found: 3 | Total locations: 325
2025-02-20 21:05:16,858 - Batch 5000-5004 processed in 0.06 seconds | Locations found: 0 | Total locations: 325
2025-02-20 21:05:16,858 - Completed NLP processing in 143.94 seconds
2025-02-20 21:05:16,893 - Saved JSON files in 0.04 seconds
2025-02-20 21:05:16,893 - Final Statistics:
2025-02-20 21:05:16,894 - Total unique researchers: 1389
2025-02-20 21:05:16,894 - Total unique works (titles) parsed: 4956
2025-02-20 21:05:16,894 - Total unique locations extracted: 146
2025-02-20 21:05:16,894 - Total execution time: 2.43 minutes
2025-02-20 21:12:10,108 - Loaded spaCy model in 1.71 seconds
2025-02-20 21:12:10,108 - Processing file: C:\Users\austi\IdeaProjects\expert-mapping-interface\src\geo\data\csv\expert_profiles.csv
2025-02-20 21:12:11,983 - Batch 0-50 processed in 1.84 seconds | Locations found: 1 | Total locations: 1
2025-02-20 21:12:13,050 - Batch 50-100 processed in 1.07 seconds | Locations found: 2 | Total locations: 3
2025-02-20 21:12:14,552 - Batch 100-150 processed in 1.50 seconds | Locations found: 4 | Total locations: 7
2025-02-20 21:12:15,612 - Batch 150-200 processed in 1.06 seconds | Locations found: 3 | Total locations: 10
2025-02-20 21:12:18,681 - Batch 200-250 processed in 3.07 seconds | Locations found: 4 | Total locations: 14
2025-02-20 21:12:19,768 - Batch 250-300 processed in 1.09 seconds | Locations found: 3 | Total locations: 17
2025-02-20 21:12:21,062 - Batch 300-350 processed in 1.29 seconds | Locations found: 5 | Total locations: 22
2025-02-20 21:12:24,771 - Batch 350-400 processed in 3.71 seconds | Locations found: 4 | Total locations: 26
2025-02-20 21:12:26,726 - Batch 400-450 processed in 1.96 seconds | Locations found: 1 | Total locations: 27
2025-02-20 21:12:27,824 - Batch 450-500 processed in 1.10 seconds | Locations found: 3 | Total locations: 30
